Agendamento,Embarcação,Agência,Operador,Status embarcação,Navegação,Carga principal,Peso da carga movimentada (t),Qtd. de carga movimentada (un.),Qtd. de contêineres movimentados (un.),Berço,Horário chegada no porto,Horário fundeio,Horário desfundeio,Horário atracação,Horário desatracação,Horário início operação,Horário término da operação,Soma do tempo de operação paralisada
167133,IONIC SMYRNI,GEM SHIPPING LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,CARVÃO MINERAL,"40.543,70",-,0,402,23/10/2023 12:00,23/10/2023 12:00,30/10/2023 12:00,29/11/2023 10:35,06/12/2023 15:40,29/11/2023 16:30,06/12/2023 09:50,0
168530,ALIANÇA LEBLON,WILSON SONS SHIPPING SERVICES LTDA (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,CABOTAGEM,CONTÊINERES,"139.856,02",1941,1425,401,2/12/2023 15:57,2/12/2023 15:57,2/12/2023 16:30,2/12/2023 16:58,05/12/2023 04:17,2/12/2023 20:00,05/12/2023 04:00,0
168778,EUROSUN,WILHELMSEN PORT SERVICES BRASIL LTDA,NOVAD AGENCIA MARITIMA LTDA,Desatracado,LONGO CURSO,MANGANES,"10.141,87",-,0,402,13/11/2023 09:53,13/11/2023 09:53,7/12/2023 15:30,7/12/2023 16:58,11/12/2023 08:38,9/12/2023 01:20,11/12/2023 05:40,0
168828,CMA CGM SAINT LAURENT,CMA CGM DO BRASIL AGENCIA MARITIMA LTDA (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,LONGO CURSO,CONTÊINERES,"5.113,85",3121,221,401,5/12/2023 00:00,5/12/2023 00:00,5/12/2023 03:00,5/12/2023 04:39,06/12/2023 01:10,5/12/2023 08:10,05/12/2023 23:40,0
168830,CMA CGM CAYENNE,CMA CGM DO BRASIL AGENCIA MARITIMA LTDA (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,LONGO CURSO,CONTÊINERES,"6.859,71",549,435,401,18/12/2023 12:22,,,18/12/2023 12:22,19/12/2023 21:14,18/12/2023 15:30,19/12/2023 20:00,0
169064,ZEIN  I,GLOBAL AGENCIA MARITIMA LTDA EPP,BELEM TRADING & OPERACOES PORTUARIAS LTDA,Desatracado,LONGO CURSO,ANIMAIS VIVOS,"2.523,00",-,0,202,25/12/2023 16:00,25/12/2023 16:00,25/12/2023 17:00,28/12/2023 10:15,30/12/2023 12:32,28/12/2023 19:05,30/12/2023 11:30,0
169074,BROAD YUAN,LBH BRASIL AGENCIAMENTO MARITIMO LTDA. (PVC),COMPORTCE OPERADOR PORTUARIO CESARI LTDA,Desatracado,LONGO CURSO,FERTILIZANTES ADUBOS,"19.274,92",-,0,301,20/11/2023 13:30,20/11/2023 13:30,28/11/2023 20:20,28/11/2023 21:15,05/12/2023 00:25,29/11/2023 01:32,04/12/2023 15:40,7:00
169084,KANAAN,WILSON SONS SHIPPING SERVICES LTDA (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"1.806,57",-,79,401,2/12/2023 02:00,,,2/12/2023 02:00,03/12/2023 15:15,2/12/2023 03:00,02/12/2023 15:00,0
169291,GLYFADA,ORION RODOS MARITIMA E PORTUARIA (PVC),ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,CABOTAGEM,BAUXITA,"33.258,70",-,0,101,28/11/2023 08:00,28/11/2023 08:00,29/11/2023 21:00,29/11/2023 22:43,02/12/2023 12:20,30/11/2023 01:30,02/12/2023 10:20,0
169304,ADRIATIC WAVE,ISS MARINE SERVICES LTDA.      FILIAL BELEM,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,SODA CÁUSTICA,"42.022,53",-,0,501,29/11/2023 01:42,29/11/2023 01:42,7/12/2023 16:00,7/12/2023 17:00,10/12/2023 18:24,7/12/2023 22:06,10/12/2023 08:54,0
169337,JOURI,GLOBAL AGENCIA MARITIMA LTDA EPP,R L DE ASSUNCAO OPERADOR PORTUARIO LTDA,Desatracado,LONGO CURSO,ANIMAIS VIVOS,"1.725,16",-,0,202,21/11/2023 21:15,21/11/2023 21:15,7/12/2023 15:30,7/12/2023 17:20,10/12/2023 06:43,8/12/2023 01:20,09/12/2023 17:10,0
169347,SAGA FUJI,ORION RODOS MARITIMA E PORTUARIA (PVC),ALBRAS ALUMINIO BRASILEIRO SA,Desatracado,LONGO CURSO,ALUMÍNIO E SUAS OBRAS,"17.943,96",-,0,201,1/12/2023 11:41,1/12/2023 11:41,1/12/2023 21:53,1/12/2023 23:00,04/12/2023 21:25,2/12/2023 02:45,04/12/2023 14:28,0
169350,BERNIS,WILHELMSEN PORT SERVICES BRASIL LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,ALUMINA,"33.453,76",-,0,102,1/12/2023 12:15,,,1/12/2023 12:15,03/12/2023 14:55,1/12/2023 14:27,03/12/2023 13:26,19:40
169353,MV DEVBULK SADIYE,UNIMAR AGENCIAMENTOS MARÍTIMOS LTDA (PVC),COMPORTCE OPERADOR PORTUARIO CESARI LTDA,Desatracado,LONGO CURSO,FERTILIZANTES ADUBOS,"13.084,16",-,0,301,26/11/2023 18:50,26/11/2023 18:50,5/12/2023 00:36,5/12/2023 01:10,08/12/2023 20:00,5/12/2023 08:25,08/12/2023 15:25,0
169372,IC PHOENIX,ALPHAMAR AGENCIA MARITIMA LTDA EPP (PVC),MEGA LOGISTICA SERVICOS PORTUARIOS LTDA,Desatracado,LONGO CURSO,MILHO,"59.512,13",-,0,FUNDEIO1,26/11/2023 11:54,26/11/2023 11:54,8/12/2023 02:48,8/12/2023 08:30,25/12/2023 08:20,9/12/2023 12:55,24/12/2023 09:20,0
169434,FLORETGRACHT,ORION RODOS MARITIMA E PORTUARIA (PVC),ALBRAS ALUMINIO BRASILEIRO SA,Desatracado,LONGO CURSO,ALUMÍNIO E SUAS OBRAS,"9.165,76",-,0,202,12/12/2023 00:00,12/12/2023 00:00,12/12/2023 06:00,12/12/2023 08:40,15/12/2023 11:40,12/12/2023 13:45,15/12/2023 03:05,0
169436,LOG-IN POLARIS,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,CABOTAGEM,CONTÊINERES,"8.074,87",-,428,401,30/11/2023 21:58,,,30/11/2023 21:58,02/12/2023 01:08,30/11/2023 21:58,01/12/2023 23:48,0
169439,ALIANÇA LEBLON,WILSON SONS SHIPPING SERVICES LTDA (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,CABOTAGEM,CONTÊINERES,"4.231,22",212,260,401,16/12/2023 01:00,,,16/12/2023 01:00,18/12/2023 10:22,16/12/2023 02:30,18/12/2023 09:00,0
169460,IOANNIS ZAFIRAKIS,PETROLEO BRASILEIRO,PETROLEO BRASILEIRO,Desatracado,CABOTAGEM,COMBUSTÍVEIS E ÓLEOS MINERAIS E PRODUTOS,"3.293,85",-,0,501,2/12/2023 14:55,,,2/12/2023 14:55,03/12/2023 12:10,2/12/2023 18:36,03/12/2023 00:12,0
169462,CLEAROCEAN MELODY,PETROLEO BRASILEIRO,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,CABOTAGEM,COMBUSTÍVEIS E ÓLEOS MINERAIS E PRODUTOS,"5,00",-,0,501,5/12/2023 15:05,,,5/12/2023 15:05,07/12/2023 04:19,5/12/2023 20:00,07/12/2023 01:00,0
169464,HB TUCUNARÉ,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,CABOTAGEM,BAUXITA,"53.107,71",-,0,101,2/12/2023 18:13,,,2/12/2023 18:13,05/12/2023 19:25,2/12/2023 20:04,05/12/2023 17:20,13:52
169465,HB TAMBAQUI,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,CABOTAGEM,BAUXITA,"53.900,07",-,0,101,6/12/2023 20:15,6/12/2023 20:15,6/12/2023 20:45,6/12/2023 21:18,09/12/2023 15:44,7/12/2023 01:22,09/12/2023 09:37,0
169485,RAINHA DO JURUA,MAJONAV NAVEGACAO LTDA.,CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"0,00",-,3,401,6/12/2023 04:00,,,6/12/2023 04:00,07/12/2023 01:28,6/12/2023 13:45,07/12/2023 01:20,0
169486,MAJONAV IV,MAJONAV NAVEGACAO LTDA.,CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"10,00",-,1,401,6/12/2023 01:40,,,6/12/2023 01:40,06/12/2023 13:20,6/12/2023 01:50,06/12/2023 13:00,0
169487,ADL IV,MAJONAV NAVEGACAO LTDA.,CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"25,00",-,1,401,7/12/2023 06:42,,,7/12/2023 06:42,07/12/2023 12:50,7/12/2023 08:18,07/12/2023 12:20,0
169488,ANA CAROLINA,MAJONAV NAVEGACAO LTDA.,CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"32,03",-,1,401,7/12/2023 01:25,,,7/12/2023 01:25,07/12/2023 07:10,7/12/2023 01:30,07/12/2023 07:00,0
169494,B/T. OMS XVI,OZIEL MUSTAFA DOS SANTOS E CIA LTDA,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,INTERIOR,ALCOOL ANIDRO,"0,00",-,0,502,1/12/2023 08:30,,,1/12/2023 08:30,01/12/2023 23:00,1/12/2023 13:42,01/12/2023 18:00,0
169503,ISHIZUCHI STAR,GEM SHIPPING LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,ALUMINA,"31.500,29",-,0,102,3/12/2023 16:15,,,3/12/2023 16:15,06/12/2023 15:13,3/12/2023 18:10,06/12/2023 05:10,0
169506,PRATES VII,WILSON SONS SHIPPING SERVICES LTDA (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"2.406,77",-,132,401,2/12/2023 02:00,,,2/12/2023 02:00,02/12/2023 16:30,2/12/2023 02:00,02/12/2023 16:15,0
169508,ANDALUCIA,WILLIAMS SERVICOS MARITIMOS LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,ALUMINA,"1,98",-,0,201,29/11/2023 16:00,29/11/2023 16:00,29/11/2023 18:50,29/11/2023 19:08,01/12/2023 14:00,29/11/2023 22:50,01/12/2023 10:43,2:25
169554,NORTELOG I,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"1.232,58",36,80,R1,1/12/2023 09:25,,,1/12/2023 09:25,02/12/2023 02:00,1/12/2023 10:15,02/12/2023 00:40,0
169556,EXPRESS M,GLOBAL AGENCIA MARITIMA LTDA EPP,R L DE ASSUNCAO OPERADOR PORTUARIO LTDA,Desatracado,LONGO CURSO,ANIMAIS VIVOS,"1.298,36",1,1,202,7/12/2023 02:52,7/12/2023 02:52,10/12/2023 06:32,10/12/2023 07:38,12/12/2023 07:00,10/12/2023 20:42,11/12/2023 13:40,0
169569,APPALOOSA,WILHELMSEN PORT SERVICES BRASIL LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,ALUMINA,"32.290,81",-,0,201,6/12/2023 18:25,6/12/2023 18:25,6/12/2023 18:55,6/12/2023 19:15,09/12/2023 14:40,7/12/2023 01:35,09/12/2023 10:20,0
169588,ATAYAL STAR,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),ALBRAS ALUMINIO BRASILEIRO SA,Desatracado,LONGO CURSO,"COQUE DE PETRÓLEO, BETUME DE PETRÓLEO E OUTROS RESÍDUOS DOS ÓLEOS DE PETRÓLEO","15,00",-,0,202,12/12/2023 10:00,12/12/2023 10:00,14/12/2023 09:00,15/12/2023 12:58,19/12/2023 13:15,15/12/2023 15:00,18/12/2023 12:25,5:45
169603,ATHENAS ZAPAL,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"58,06",-,4,401,6/12/2023 01:30,,,6/12/2023 01:30,06/12/2023 01:50,6/12/2023 01:37,06/12/2023 01:48,0
169654,Bernard,SAAM TOWAGE BRASIL S.A. PVC,SAAM TOWAGE BRASIL S.A. PVC,Desatracado,APOIO PORTUÁRIO,SEM CARGA,"0,58",-,0,202,2/12/2023 04:00,,,2/12/2023 04:00,05/12/2023 16:14,,,0
169659,HALKI,WILHELMSEN PORT SERVICES BRASIL LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,ALUMINA,"35.600,00",-,0,102,11/12/2023 18:48,11/12/2023 18:48,11/12/2023 19:28,11/12/2023 20:00,16/12/2023 10:41,12/12/2023 00:20,16/12/2023 03:40,0
169666,TORM ALEXANDRA,GEM SHIPPING LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,SODA CÁUSTICA,"40,98",-,0,501,10/12/2023 08:00,10/12/2023 08:00,16/12/2023 11:00,16/12/2023 11:41,18/12/2023 14:21,16/12/2023 16:18,18/12/2023 11:30,0
169675,GLYFADA,ORION RODOS MARITIMA E PORTUARIA (PVC),ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,CABOTAGEM,BAUXITA,"35.338,00",-,0,101,9/12/2023 18:34,9/12/2023 18:34,9/12/2023 19:06,9/12/2023 19:43,13/12/2023 15:00,9/12/2023 22:00,11/12/2023 23:55,0
169678,MSC MANYA,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,LONGO CURSO,CONTÊINERES,"23.610,45",560,1270,401,13/12/2023 21:05,13/12/2023 21:05,13/12/2023 21:10,13/12/2023 21:50,15/12/2023 15:18,13/12/2023 23:50,15/12/2023 12:56,0
169682,TORM SOVEREIGN,NORTH STAR SERVICOS MARITIMOS LTDA - FILIAL BELEM,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,LONGO CURSO,COMBUSTÍVEIS E ÓLEOS MINERAIS E PRODUTOS,"3.486,97",-,0,501,18/12/2023 15:00,,,18/12/2023 15:00,21/12/2023 02:52,18/12/2023 21:30,20/12/2023 19:20,0
169683,SSI FURIOUS,WILHELMSEN PORT SERVICES BRASIL LTDA,MATAPI TRANSPORTE MULTIMODAL LTDA (PVC),Desatracado,LONGO CURSO,FERTILIZANTES ADUBOS,"15.439,29",-,0,402,19/12/2023 15:40,,,19/12/2023 15:40,24/12/2023 06:10,19/12/2023 20:50,23/12/2023 18:50,1:40
169686,INDUSTRIAL EMMA,NOVAD AGENCIA MARITIMA LTDA,CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,LONGO CURSO,"REATORES,  CALDEIRAS,  MÁQUINAS","28,32",-,0,102,7/12/2023 19:44,7/12/2023 19:44,9/12/2023 05:00,9/12/2023 06:00,09/12/2023 17:40,9/12/2023 09:13,09/12/2023 11:48,0
169708,M/V OMEGA STAR,GLOBAL AGENCIA MARITIMA LTDA EPP,R L DE ASSUNCAO OPERADOR PORTUARIO LTDA,Desatracado,LONGO CURSO,ANIMAIS VIVOS,"1.213,28",-,0,402,16/12/2023 13:14,16/12/2023 13:14,16/12/2023 13:50,16/12/2023 14:19,18/12/2023 12:20,16/12/2023 23:45,17/12/2023 15:40,0
169736,OMS VIII,OZIEL MUSTAFA DOS SANTOS E CIA LTDA,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,INTERIOR,GASOLINA,"2.140,25",-,0,502,2/12/2023 08:00,2/12/2023 08:00,3/12/2023 18:00,4/12/2023 07:15,04/12/2023 18:30,4/12/2023 11:40,04/12/2023 16:33,0
169757,Bernard,SAAM TOWAGE BRASIL S.A. PVC,SAAM TOWAGE BRASIL S.A. PVC,Desatracado,APOIO PORTUÁRIO,SEM CARGA,"1,12",-,0,202,3/12/2023 13:30,,,3/12/2023 13:30,05/12/2023 16:14,5/12/2023 12:18,05/12/2023 16:11,0
169771,NORTELOG II,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"1.216,54",43,110,R1,6/12/2023 07:00,,,6/12/2023 07:00,07/12/2023 06:15,6/12/2023 08:48,07/12/2023 03:55,0
169774,M.V.FEDERAL CEDAR,GEM SHIPPING LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,ALUMINA,"32.001,58",-,0,201,11/12/2023 19:04,11/12/2023 19:04,14/12/2023 21:50,14/12/2023 22:50,16/12/2023 10:26,15/12/2023 01:08,16/12/2023 06:48,0
169781,LANNA NAREE,LBH BRASIL AGENCIAMENTO MARITIMO LTDA. (PVC),ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,ALUMINA,"31.501,91",-,0,102,10/12/2023 22:30,10/12/2023 22:30,10/12/2023 23:30,11/12/2023 00:16,23/12/2023 11:42,11/12/2023 03:30,12/12/2023 09:56,0
169782,SMEW,WILLIAMS SERVICOS MARITIMOS LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,ALUMINA,"33.801,00",-,0,201,11/12/2023 12:06,11/12/2023 12:06,12/12/2023 10:23,12/12/2023 12:00,14/12/2023 22:11,12/12/2023 14:24,14/12/2023 18:56,0
169785,AP MARINE VI,AP MARINE LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,INTERIOR,COMBUSTÍVEIS E ÓLEOS MINERAIS E PRODUTOS,"712,80",-,0,502,8/12/2023 07:00,,,8/12/2023 07:00,08/12/2023 15:28,8/12/2023 09:27,08/12/2023 14:00,0
169815,HB TUCUNARÉ,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,CABOTAGEM,BAUXITA,"55.359,39",-,0,101,13/12/2023 17:27,13/12/2023 17:27,13/12/2023 18:00,13/12/2023 18:40,18/12/2023 08:20,13/12/2023 21:23,18/12/2023 06:00,0
169816,HB TAMBAQUI,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),Desatracado,CABOTAGEM,BAUXITA,"632,14",-,0,101,18/12/2023 10:22,,,18/12/2023 10:22,22/12/2023 06:27,18/12/2023 18:16,22/12/2023 05:00,0
169825,SSI RESOLUTE,LBH BRASIL AGENCIAMENTO MARITIMO LTDA. (PVC),COMPORTCE OPERADOR PORTUARIO CESARI LTDA,Desatracado,LONGO CURSO,FERTILIZANTES ADUBOS,"51.245,75",-,0,301,12/12/2023 07:50,12/12/2023 07:50,12/12/2023 08:30,12/12/2023 09:20,19/12/2023 13:35,12/12/2023 14:40,19/12/2023 05:00,0
169828,WALDECIR RODRIGUES MUSTAFA,OZIEL MUSTAFA DOS SANTOS E CIA LTDA,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,INTERIOR,GASOLINA,"2,14",-,0,502,7/12/2023 06:30,,,7/12/2023 06:30,07/12/2023 18:00,7/12/2023 11:54,07/12/2023 16:56,0
169848,OCEAN ADORE,WILHELMSEN PORT SERVICES BRASIL LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,ALUMINA,"54.405,74",-,0,102,20/12/2023 15:47,,,20/12/2023 15:47,28/12/2023 10:35,20/12/2023 20:54,28/12/2023 04:35,0
169856,NORTELOG II,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"1.267,95",33,85,R1,8/12/2023 07:00,,,8/12/2023 07:00,08/12/2023 21:00,8/12/2023 09:10,08/12/2023 20:35,0
169857,SERRA DOURADA XXIII,TRANSDOURADA NAVEGAÇÃO LTDA,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,INTERIOR,COMBUSTÍVEIS E ÓLEOS MINERAIS E PRODUTOS,"2,50",-,0,502,16/12/2023 07:20,,,16/12/2023 07:20,16/12/2023 18:10,16/12/2023 07:21,16/12/2023 18:09,0
169876,GLYFADA,ORION RODOS MARITIMA E PORTUARIA (PVC),ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,CABOTAGEM,BAUXITA,"39.244,63",-,0,101,21/12/2023 08:00,21/12/2023 08:00,21/12/2023 09:00,22/12/2023 07:00,25/12/2023 08:20,22/12/2023 21:20,24/12/2023 23:50,16:00
169877,IOANNIS ZAFIRAKIS,PETROLEO BRASILEIRO,PETROLEO BRASILEIRO,Desatracado,CABOTAGEM,COMBUSTÍVEIS E ÓLEOS MINERAIS E PRODUTOS,"25,66",-,0,501,13/12/2023 10:16,,,13/12/2023 10:16,15/12/2023 21:50,13/12/2023 14:48,15/12/2023 12:30,0
169881,AP MARINE VI,AP MARINE LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,INTERIOR,COMBUSTÍVEIS E ÓLEOS MINERAIS E PRODUTOS,"0,72",-,0,502,18/12/2023 07:15,,,18/12/2023 07:15,18/12/2023 13:09,18/12/2023 07:20,18/12/2023 13:00,0
169893,LDC 001,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL S.A,Desatracado,INTERIOR,MILHO,"1.342,26",-,0,FUNDEIO2,12/12/2023 05:50,,,12/12/2023 05:50,12/12/2023 10:55,12/12/2023 06:00,12/12/2023 09:05,0
169894,LDC 004,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL S.A,Desatracado,INTERIOR,MILHO,"1.379,63",-,0,FUNDEIO2,15/12/2023 09:30,,,15/12/2023 09:30,15/12/2023 17:10,15/12/2023 09:35,15/12/2023 17:00,0
169895,LDC 007,LOUIS DREYFUS COMPANY BRASIL S.A,MEGA LOGISTICA SERVICOS PORTUARIOS LTDA,Desatracado,INTERIOR,MILHO,"1.263,96",-,0,FUNDEIO2,9/12/2023 12:45,,,9/12/2023 12:45,09/12/2023 22:45,9/12/2023 12:50,09/12/2023 15:40,0
169896,LDC 008,LOUIS DREYFUS COMPANY BRASIL S.A,MEGA LOGISTICA SERVICOS PORTUARIOS LTDA,Desatracado,INTERIOR,MILHO,"1.489,63",-,0,FUNDEIO2,9/12/2023 23:05,,,9/12/2023 23:05,10/12/2023 07:10,9/12/2023 23:10,10/12/2023 06:05,0
169897,LDC 013,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL S.A,Desatracado,INTERIOR,MILHO,"1.230,39",-,0,FUNDEIO2,12/12/2023 00:25,,,12/12/2023 00:25,12/12/2023 06:00,12/12/2023 00:50,12/12/2023 05:50,0
