Agendamento,Embarcação,Agência,Operador,Status embarcação,Navegação,Carga principal,Peso da carga movimentada (t),Qtd. de carga movimentada (un.),Qtd. de contêineres movimentados (un.),Berço,Horário chegada no porto,Horário fundeio,Horário desfundeio,Horário atracação,Horário desatracação,Horário início operação,Horário término da operação,Soma do tempo de operação paralisada
169995,FEDERAL TAMBO,WILHELMSEN PORT SERVICES BRASIL LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,ALUMINA,"47.250,32",-,0,201,24/12/2023 04:50,,,24/12/2023 04:50,27/12/2023 09:34,24/12/2023 06:44,27/12/2023 04:12,0
170015,ATHENAS ZAPAL,SERVEPORTO AGENCIA MARITIMA LTDA.    (PVC),CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,INTERIOR,CONTÊINERES,"100,00",-,4,401,19/12/2023 21:30,,,19/12/2023 21:30,19/12/2023 21:56,19/12/2023 21:54,19/12/2023 21:55,0
170030,MSC SHIRLEY,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,CONVICON CONTEINERES DE VILA DO CONDE S/A,Desatracado,LONGO CURSO,CONTÊINERES,"134.813,58",29253,415,401,15/12/2023 23:00,15/12/2023 23:00,16/12/2023 00:00,24/12/2023 14:05,25/12/2023 15:55,24/12/2023 15:30,25/12/2023 14:30,0
170045,BT- OMS-XXV,OZIEL MUSTAFA DOS SANTOS E CIA LTDA,TEQUIMAR VILA DO CONDE LOGISTICA PORTUARIA SA,Desatracado,INTERIOR,"AERONAVES, EMBARCAÇÕES E SUAS PARTES","274,76",-,0,502,14/12/2023 07:55,,,14/12/2023 07:55,15/12/2023 18:30,14/12/2023 12:55,14/12/2023 14:21,0
170056,FEDERAL YELLOWSTONE,GEM SHIPPING LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,ALUMINA,"2,00",-,0,201,19/12/2023 09:05,19/12/2023 09:05,19/12/2023 10:00,20/12/2023 11:19,22/12/2023 19:20,20/12/2023 19:15,21/12/2023 23:00,0
170057,LDC 003,LOUIS DREYFUS COMPANY BRASIL S.A,MEGA LOGISTICA SERVICOS PORTUARIOS LTDA,Desatracado,INTERIOR,MILHO,"1.103,04",-,0,FUNDEIO2,9/12/2023 23:05,,,9/12/2023 23:05,10/12/2023 07:10,10/12/2023 04:50,10/12/2023 05:54,0
170065,CHARLES,WILHELMSEN PORT SERVICES BRASIL LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,ALUMINA,"34.602,63",-,0,201,22/12/2023 00:01,22/12/2023 00:01,27/12/2023 09:40,27/12/2023 10:13,30/12/2023 05:58,28/12/2023 07:04,30/12/2023 03:35,0
170074,WESTERN MIAMI,WILHELMSEN PORT SERVICES BRASIL LTDA,ALUNORTE ALUMINA DO NORTE DO BRASIL SA,Desatracado,LONGO CURSO,ALUMINA,"36.589,33",-,0,102,18/12/2023 01:18,,,18/12/2023 01:18,20/12/2023 04:08,18/12/2023 07:47,20/12/2023 02:22,0
170078,LDC 005,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL S.A,Desatracado,INTERIOR,MILHO,"1.503,59",-,0,FUNDEIO2,16/12/2023 11:10,,,16/12/2023 11:10,16/12/2023 15:30,16/12/2023 12:20,16/12/2023 14:50,0
170079,LDC 047,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.499,15",-,0,FUNDEIO2,18/12/2023 08:05,,,18/12/2023 08:05,19/12/2023 03:10,18/12/2023 10:55,18/12/2023 13:50,0
170080,LDC 045,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL S.A,Desatracado,INTERIOR,MILHO,"1.512,45",-,0,FUNDEIO2,16/12/2023 20:15,,,16/12/2023 20:15,17/12/2023 05:45,17/12/2023 02:45,17/12/2023 04:50,0
170081,LDC 020,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL S.A,Desatracado,INTERIOR,MILHO,"1.686,68",-,0,FUNDEIO2,17/12/2023 06:00,,,17/12/2023 06:00,17/12/2023 13:30,17/12/2023 06:25,17/12/2023 13:25,0
170082,LDC 056,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.670,15",-,0,FUNDEIO2,17/12/2023 14:10,,,17/12/2023 14:10,18/12/2023 02:20,17/12/2023 14:20,17/12/2023 16:45,0
170083,LDC 049,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL S.A,Desatracado,INTERIOR,MILHO,"1.486,44",-,0,FUNDEIO2,16/12/2023 11:10,,,16/12/2023 11:10,17/12/2023 05:45,16/12/2023 15:25,16/12/2023 18:05,0
170084,LDC 060,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.642,76",-,0,FUNDEIO2,20/12/2023 11:05,,,20/12/2023 11:05,22/12/2023 01:35,20/12/2023 20:50,22/12/2023 01:20,23:55
170085,LDC 027,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.524,12",-,0,FUNDEIO2,20/12/2023 11:10,,,20/12/2023 11:10,22/12/2023 06:40,22/12/2023 01:20,22/12/2023 04:35,0
170086,LDC 044,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.674,68",-,0,FUNDEIO2,17/12/2023 06:05,,,17/12/2023 06:05,17/12/2023 13:30,17/12/2023 09:35,17/12/2023 13:10,0
170087,LDC 052,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.647,87",-,0,FUNDEIO2,17/12/2023 14:10,,,17/12/2023 14:10,18/12/2023 02:20,17/12/2023 14:20,17/12/2023 19:40,0
170088,LDC 017,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL S.A,Desatracado,INTERIOR,MILHO,"1.526,64",-,0,FUNDEIO2,19/12/2023 08:40,,,19/12/2023 08:40,20/12/2023 05:15,19/12/2023 13:05,19/12/2023 23:10,0
170089,LDC 035,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL S.A,Desatracado,INTERIOR,MILHO,"1.488,90",-,0,FUNDEIO2,18/12/2023 15:00,,,18/12/2023 15:00,19/12/2023 03:10,18/12/2023 17:10,18/12/2023 18:05,0
170090,LDC 040,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL SA,Desatracado,INTERIOR,MILHO,"1.656,39",-,0,FUNDEIO2,19/12/2023 08:40,,,19/12/2023 08:40,20/12/2023 05:15,19/12/2023 08:45,19/12/2023 11:10,0
170091,LDC 026,LOUIS DREYFUS COMPANY BRASIL S.A,LOUIS DREYFUS COMPANY BRASIL S.A,Desatracado,INTERIOR,MILHO,"1.677,70",-,0,FUNDEIO2,18/12/2023 08:05,,,18/12/2023 08:05,18/12/2023 11:25,18/12/2023 08:15,18/12/2023 11:20,0
